State,District,Average Household Income (INR/year),Government Subsidy (INR),Competitor Price (INR),Battery Cost (INR),Battery Lifespan (years),Charging Infrastructure (Stations per 100 sq km),Electricity Cost (INR/kWh),Scooter Range (km per charge),Max Speed (km/h),"Loan Availability (1 = Yes, 0 = No)",Rural Road Quality (1-5 scale),Fuel Price (INR/liter)
Goa,Mapusa,135567.09,10000.0,73630.0,33895,7,1,3.6,95,67,1,3,99.53
Sikkim,Namchi,,15000.0,55449.0,32960,4,2,3.69,53,47,0,1,105.01
Jharkhand,Dhanbad,171091.36,15000.0,67762.0,38691,5,0,7.23,119,70,1,5,101.64
Bihar,Muzaffarpur,226310.8,10000.0,77834.0,36951,7,0,5.1,95,71,0,2,104.11
Sikkim,Mangan,188375.45,15000.0,43396.0,35122,5,2,3.74,76,44,1,5,101.27
Nagaland,Dimapur,223925.69,15000.0,54710.0,31887,5,0,7.48,118,72,0,2,105.73
Uttar Pradesh,Agra,97669.04,20000.0,104603.0,15325,7,1,7.32,122,69,1,2,97.64
Kerala,Kozhikode,165868.13,20000.0,82268.0,24772,5,2,5.17,113,78,1,1,99.73
Arunachal Pradesh,Ziro,157762.3,10000.0,97252.0,19887,3,2,3.91,115,42,1,3,98.52
Jharkhand,Dhanbad,167554.56,15000.0,87994.0,25552,4,1,6.47,120,74,1,2,99.63
Bihar,Gaya,218811.6,10000.0,80909.0,15551,5,1,3.74,91,70,1,2,97.54
Maharashtra,Mumbai,138960.54,15000.0,70363.0,35312,5,2,6.01,122,48,1,2,104.2
Meghalaya,Jowai,129724.83,15000.0,80718.0,23484,3,0,6.55,93,68,0,2,101.75
Manipur,Thoubal,176699.04,10000.0,96749.0,16603,6,0,4.35,79,67,0,5,100.98
Haryana,Faridabad,61089.86,15000.0,87383.0,17792,5,2,7.27,109,61,1,5,107.93
Maharashtra,Mumbai,138157.4,10000.0,77502.0,28184,7,0,7.48,85,68,1,1,103.99
Tamil Nadu,Tiruchirapalli,143290.12,10000.0,72414.0,27588,6,0,4.94,98,68,0,4,103.16
West Bengal,Durgapur,103982.07,15000.0,82474.0,26550,6,2,7.35,78,73,1,3,105.12
Tripura,Udaipur,202852.95,15000.0,,23484,3,0,4.43,87,58,0,2,104.32
Haryana,Gurgaon,96887.98,10000.0,82477.0,15113,7,0,6.71,111,57,1,4,104.76
Rajasthan,Jodhpur,143206.35,20000.0,64530.0,27228,6,0,6.46,115,62,1,4,104.45
Meghalaya,Shillong,164657.86,10000.0,69691.0,37058,5,1,3.67,101,47,0,4,99.24
Madhya Pradesh,Indore,,10000.0,59584.0,18156,3,0,4.54,85,66,0,2,105.61
Nagaland,,149472.18,10000.0,68403.0,30458,3,1,5.04,115,62,0,3,102.65
Manipur,Thoubal,196807.68,10000.0,64744.0,34203,3,1,3.56,128,61,1,3,106.65
Rajasthan,Jodhpur,185029.77,10000.0,100378.0,21342,4,2,7.29,80,69,1,2,100.01
Telangana,Warangal,156172.88,15000.0,61582.0,15633,6,3,4.35,94,48,1,1,102.89
Uttar Pradesh,,95524.33,20000.0,80772.0,36020,7,1,7.2,93,54,1,1,106.23
Tripura,Kailashahar,78270.96,15000.0,60796.0,25083,7,0,5.26,79,68,1,4,100.19
West Bengal,Siliguri,155325.27,,75703.0,22778,4,2,4.01,84,70,1,2,105.63
West Bengal,Howrah,122865.16,15000.0,79348.0,22775,5,1,5.21,99,72,1,1,106.38
West Bengal,Durgapur,,10000.0,47233.0,24065,6,2,5.95,106,66,1,5,103.23
Madhya Pradesh,Gwalior,,10000.0,54034.0,25751,3,1,5.4,134,46,1,3,98.15
Himachal Pradesh,Dharamshala,140769.45,10000.0,60679.0,17803,4,3,4.77,83,55,1,5,109.05
Manipur,Churachandpur,92114.35,15000.0,55451.0,22306,4,1,6.76,75,72,1,5,102.06
Madhya Pradesh,Indore,175536.78,10000.0,76261.0,24713,6,3,7.32,62,74,1,1,107.94
Andhra Pradesh,Guntur,99102.53,15000.0,78638.0,25528,7,1,3.88,108,52,1,3,108.62
Tripura,Agartala,112076.8,15000.0,59053.0,36940,6,2,5.7,115,57,1,5,96.14
Gujarat,Vadodara,101029.21,15000.0,76862.0,29056,7,3,4.77,91,64,1,3,101.38
Himachal Pradesh,Shimla,143074.95,15000.0,68638.0,20648,6,1,6.49,99,76,0,5,101.19
Telangana,Karimnagar,208509.62,10000.0,73507.0,20771,7,0,6.04,81,66,0,3,102.18
Andhra Pradesh,Nellore,149747.96,10000.0,65573.0,27310,4,1,3.61,94,52,1,2,97.88
Kerala,Kochi,127839.07,15000.0,82314.0,26176,7,0,6.04,106,54,0,1,109.04
Haryana,Faridabad,73719.25,10000.0,99523.0,18563,6,1,6.4,147,66,1,2,97.25
Telangana,Karimnagar,,10000.0,86615.0,32972,5,2,6.58,77,56,0,3,96.78
Karnataka,Mysore,110979.77,15000.0,95900.0,31134,6,1,7.06,76,58,1,1,98.81
Odisha,Bhubaneswar,155875.88,15000.0,53957.0,37113,4,2,7.28,77,42,0,1,96.19
Mizoram,Lunglei,132289.07,15000.0,64864.0,26457,7,1,4.57,94,56,1,4,101.03
Haryana,Panipat,191908.86,15000.0,83478.0,27115,7,2,6.15,129,82,1,2,98.42
Assam,Jorhat,142138.18,,97624.0,39649,7,2,5.73,95,66,0,5,102.17
Assam,Jorhat,147053.68,15000.0,84756.0,33868,4,1,6.79,105,57,1,1,103.55
Andhra Pradesh,Visakhapatnam,174287.36,10000.0,59606.0,39068,6,1,3.65,70,71,1,5,102.71
Uttarakhand,,255347.01,15000.0,68480.0,33272,7,1,5.14,74,45,1,2,108.3
Chhattisgarh,Bilaspur,194422.35,15000.0,80001.0,36155,5,2,4.87,94,46,0,4,108.39
Jharkhand,Bokaro,145569.69,15000.0,72530.0,32773,5,2,6.11,149,62,1,1,103.91
Gujarat,Vadodara,150159.9,15000.0,63018.0,19217,3,0,5.17,67,76,1,4,102.92
Uttar Pradesh,,123757.03,20000.0,70646.0,19746,5,2,5.07,123,60,1,4,100.81
Himachal Pradesh,Dharamshala,102500.21,15000.0,74783.0,23639,3,2,5.0,93,61,1,3,105.36
West Bengal,,122362.46,10000.0,,27675,7,3,6.8,72,72,0,4,98.22
Gujarat,Vadodara,,20000.0,89767.0,36848,4,1,5.43,73,75,0,5,99.03
Himachal Pradesh,Shimla,,15000.0,68405.0,38074,4,1,5.1,131,68,1,4,103.27
Haryana,Ambala,96440.26,10000.0,73911.0,19898,4,1,6.96,91,58,1,3,104.06
Kerala,Thiruvananthapuram,216660.53,10000.0,90525.0,37562,7,2,3.51,99,75,1,2,105.77
Arunachal Pradesh,Ziro,187602.32,20000.0,73125.0,28478,7,0,4.78,124,68,1,1,109.4
Andhra Pradesh,Vijayawada,151025.09,15000.0,89705.0,21944,6,0,6.2,102,55,0,2,95.73
Meghalaya,Tura,150015.93,15000.0,59561.0,24292,5,0,3.92,117,82,1,3,104.57
Tamil Nadu,,122135.93,20000.0,81494.0,24592,7,1,5.82,98,61,0,5,102.62
Tamil Nadu,Coimbatore,163504.22,20000.0,87589.0,38979,5,1,5.3,87,61,1,1,100.88
Telangana,Hyderabad,204404.62,15000.0,62551.0,20863,4,1,6.18,87,61,1,5,96.37
Chhattisgarh,Raipur,114842.18,10000.0,72324.0,25546,5,0,5.62,124,71,1,2,105.47
Assam,Dibrugarh,73330.4,10000.0,72634.0,30607,6,1,4.28,107,58,0,1,106.03
Kerala,Thrissur,185160.91,15000.0,78144.0,15293,4,0,4.03,101,65,1,5,97.45
Haryana,Faridabad,166218.3,15000.0,,24769,5,1,4.73,66,64,1,1,105.45
Sikkim,Gyalshing,93990.06,15000.0,61331.0,19268,6,2,7.27,116,66,0,2,95.54
Uttarakhand,Nainital,,15000.0,74099.0,22197,5,1,4.34,144,58,1,5,97.32
Assam,,,15000.0,98869.0,35442,6,2,5.34,110,67,1,1,98.05
Andhra Pradesh,Guntur,113773.39,10000.0,90808.0,20282,5,1,7.3,92,79,1,1,109.49
Assam,Dibrugarh,133815.86,10000.0,86907.0,22195,4,0,4.31,112,68,1,5,103.32
Chhattisgarh,Raipur,136672.63,15000.0,72108.0,36928,4,1,4.48,125,65,0,2,102.6
Manipur,Imphal,,10000.0,106932.0,26625,3,1,5.41,70,60,1,3,109.72
Maharashtra,,112091.81,15000.0,90447.0,23495,6,1,3.92,78,49,1,1,97.39
Assam,Dibrugarh,138560.78,15000.0,75561.0,17951,5,2,3.82,88,77,1,5,109.61
Andhra Pradesh,Visakhapatnam,158384.58,,78306.0,36145,5,1,4.71,107,58,0,5,98.51
Chhattisgarh,Raipur,134185.17,20000.0,68117.0,38402,5,2,4.07,81,45,1,5,104.95
Uttar Pradesh,Lucknow,207933.35,20000.0,,24953,7,0,5.21,102,63,1,3,106.46
Tamil Nadu,Tiruchirapalli,175404.39,15000.0,83896.0,37140,6,2,3.93,54,63,1,4,95.15
Maharashtra,Mumbai,70457.71,10000.0,85539.0,17930,5,1,5.85,100,53,1,5,106.0
Gujarat,Ahmedabad,176186.39,15000.0,72289.0,17716,3,1,5.47,117,65,0,3,102.6
Uttarakhand,Haridwar,180277.2,15000.0,52894.0,21966,4,1,5.87,103,72,1,4,102.79
Himachal Pradesh,Manali,128263.25,15000.0,78626.0,37209,7,3,7.1,126,66,1,3,99.74
Manipur,Imphal,75240.12,15000.0,85601.0,18375,7,4,4.88,97,62,1,5,108.59
Manipur,Imphal,150403.34,10000.0,60321.0,23143,4,1,4.57,112,70,1,1,97.87
Uttar Pradesh,Agra,149614.57,25000.0,73637.0,16610,7,2,5.8,99,66,1,5,100.69
Jharkhand,Jamshedpur,93917.69,10000.0,95121.0,15122,3,1,4.49,136,62,1,3,95.64
West Bengal,Durgapur,77439.04,20000.0,56947.0,26909,3,0,3.77,95,61,1,5,101.64
Madhya Pradesh,Indore,145622.32,15000.0,70743.0,37948,4,1,3.74,54,54,1,2,108.75
Odisha,Rourkela,138346.14,15000.0,97307.0,26656,6,1,3.76,79,48,1,3,98.65
Gujarat,,129136.73,10000.0,77365.0,36762,7,2,4.45,116,68,1,3,106.78
Mizoram,Lunglei,145829.46,10000.0,67109.0,38988,5,1,6.42,117,74,1,5,95.57
Punjab,Patiala,94861.18,20000.0,74894.0,30964,5,0,4.12,91,58,0,3,107.3
Bihar,Bhagalpur,128258.97,20000.0,87388.0,29452,3,0,4.53,72,63,1,3,99.7
Chhattisgarh,Durg,176666.25,15000.0,71947.0,23359,6,1,6.94,108,64,1,3,95.93
Tamil Nadu,Coimbatore,132501.5,15000.0,83963.0,39957,6,1,5.25,88,63,1,5,100.0
Gujarat,Surat,66401.38,15000.0,78524.0,34173,7,2,3.67,103,74,1,5,103.42
Madhya Pradesh,Jabalpur,126365.39,15000.0,79756.0,36867,7,3,4.49,97,52,1,5,108.94
Manipur,Bishnupur,96492.08,15000.0,84923.0,22982,4,0,4.7,98,83,1,5,99.93
Karnataka,Mangalore,163356.81,15000.0,,30370,3,1,4.24,111,59,1,4,100.61
Bihar,Gaya,165941.87,20000.0,60832.0,35361,4,1,7.37,59,71,0,1,105.42
Madhya Pradesh,Jabalpur,67061.27,15000.0,,38612,4,2,5.13,105,62,1,5,95.3
Gujarat,Ahmedabad,187950.65,15000.0,73013.0,26649,6,2,5.08,100,64,1,3,105.57
Uttarakhand,Dehradun,94390.68,20000.0,68278.0,31628,7,1,7.41,118,55,0,3,95.58
Odisha,Bhubaneswar,227959.11,15000.0,,33332,5,1,5.7,97,67,1,2,109.18
Sikkim,Namchi,147561.19,10000.0,94160.0,16352,4,1,3.83,108,70,1,5,109.91
West Bengal,Kolkata,87680.33,10000.0,72681.0,33113,3,0,5.27,104,65,0,1,106.17
Arunachal Pradesh,Itanagar,92900.7,15000.0,75126.0,23003,4,2,6.12,88,49,1,4,101.59
Jharkhand,,167404.76,20000.0,57273.0,28112,5,0,5.78,93,57,1,1,97.7
Madhya Pradesh,Indore,130435.01,20000.0,71659.0,35648,5,2,6.88,117,48,1,2,95.65
Tripura,Dharmanagar,145167.3,15000.0,78319.0,36735,3,0,7.35,82,57,0,1,107.43
Rajasthan,Udaipur,230639.01,10000.0,74693.0,16117,5,1,3.73,105,53,1,5,106.59
Goa,Panaji,115037.8,10000.0,69567.0,25175,5,1,4.52,92,76,0,2,108.78
West Bengal,Siliguri,152998.14,15000.0,85887.0,31256,5,0,7.1,100,72,1,3,99.0
West Bengal,Kolkata,,20000.0,75870.0,23170,4,2,6.99,104,88,1,5,101.25
Kerala,Thrissur,163525.67,,113832.0,15458,3,0,3.56,76,74,0,5,108.66
Kerala,Kochi,69669.86,10000.0,78115.0,15518,4,1,5.81,129,46,1,2,100.54
Punjab,Patiala,175269.45,15000.0,33802.0,24809,3,1,4.78,108,62,1,4,99.09
Karnataka,Bangalore,91849.86,15000.0,58319.0,19231,5,2,5.62,98,47,0,5,103.77
Uttar Pradesh,,220340.38,15000.0,82981.0,24657,5,0,4.38,90,73,0,5,102.1
Tamil Nadu,Tiruchirapalli,108856.62,15000.0,65350.0,25761,7,2,6.32,128,74,1,4,98.08
West Bengal,Siliguri,298475.48,20000.0,66281.0,32146,5,2,4.83,154,63,1,1,108.2
Tripura,Kailashahar,223368.8,10000.0,56411.0,23385,3,1,6.07,81,62,1,2,104.58
Gujarat,Rajkot,110169.37,20000.0,67849.0,18689,6,2,3.8,99,69,1,4,99.04
Andhra Pradesh,,151000.69,10000.0,77908.0,26122,3,2,7.35,103,75,1,1,104.5
Andhra Pradesh,Visakhapatnam,,10000.0,80787.0,38701,5,2,4.51,98,62,0,4,109.28
Tripura,Kailashahar,189183.02,10000.0,59701.0,24139,5,2,5.13,110,49,0,5,97.73
Uttarakhand,Almora,172116.81,20000.0,87081.0,32633,6,4,5.02,88,47,1,1,104.42
Tripura,Kailashahar,212607.95,15000.0,57129.0,19016,5,2,5.88,108,52,1,1,109.98
Punjab,Ludhiana,143851.55,15000.0,81569.0,25562,7,1,3.92,86,67,1,5,102.39
Madhya Pradesh,Bhopal,131664.12,15000.0,80055.0,36763,6,0,4.84,90,74,1,3,106.49
Himachal Pradesh,Shimla,132656.8,15000.0,,34032,4,3,7.02,85,71,1,3,105.62
Assam,Guwahati,192918.66,20000.0,59200.0,23120,7,0,5.09,103,65,1,2,102.41
Gujarat,Ahmedabad,168259.05,15000.0,80734.0,33500,3,0,4.45,123,68,1,3,101.36
Goa,Margao,164564.18,20000.0,,23139,7,1,7.11,81,54,1,4,105.16
Haryana,Ambala,189761.71,10000.0,72142.0,18380,7,1,5.84,91,57,1,5,103.91
Uttarakhand,Dehradun,50000.0,15000.0,85310.0,29262,5,2,5.17,83,59,0,4,102.18
Himachal Pradesh,Manali,165503.44,15000.0,82187.0,33258,4,1,7.25,155,43,1,1,96.8
Chhattisgarh,Raipur,160928.44,20000.0,61260.0,26231,6,1,6.29,113,63,0,2,106.65
Andhra Pradesh,Nellore,233440.4,10000.0,74196.0,20502,7,3,6.18,73,65,1,4,106.99
Odisha,Sambalpur,,15000.0,,17532,5,2,4.81,111,57,1,3,99.98
Jharkhand,Bokaro,227859.33,15000.0,88049.0,38734,7,2,5.74,137,68,1,5,99.68
Kerala,Thrissur,153770.46,15000.0,98047.0,20678,4,0,5.38,75,60,0,3,102.02
Telangana,Warangal,174449.48,10000.0,62323.0,28969,6,0,5.1,116,51,1,5,100.26
Manipur,Bishnupur,233795.94,10000.0,74532.0,20080,5,0,3.53,90,63,1,3,106.64
Uttarakhand,Almora,178038.06,20000.0,88761.0,34384,7,1,4.68,88,75,1,3,109.36
Sikkim,Namchi,170018.41,15000.0,75363.0,18704,4,1,7.42,99,52,0,2,96.4
Telangana,Hyderabad,162114.56,15000.0,,37017,3,1,6.62,115,60,0,4,97.1
Himachal Pradesh,Kullu,125826.09,20000.0,75774.0,35874,3,1,5.96,80,45,0,5,100.64
Punjab,Amritsar,148575.54,10000.0,59147.0,33413,4,0,5.17,119,59,1,3,101.77
Mizoram,Lunglei,114224.36,15000.0,76783.0,25996,6,2,3.81,114,81,1,3,98.82
Mizoram,Lunglei,147771.66,20000.0,91909.0,38517,7,2,5.94,107,63,1,3,108.48
Uttar Pradesh,Agra,,25000.0,79714.0,39716,7,2,4.59,116,53,0,1,106.07
Punjab,,171451.98,15000.0,99355.0,32575,4,0,5.8,103,55,1,1,108.12
Kerala,Thiruvananthapuram,143913.14,15000.0,48427.0,30749,7,2,7.29,131,59,1,3,100.26
Gujarat,Vadodara,133189.81,15000.0,80685.0,29822,6,0,6.64,71,51,0,1,108.26
Arunachal Pradesh,,160987.9,20000.0,65279.0,26818,4,2,7.34,85,72,1,4,108.75
Assam,,,15000.0,61865.0,34784,3,1,6.85,90,75,0,2,108.75
Mizoram,Aizawl,246463.5,15000.0,95016.0,18587,3,1,3.85,95,58,1,4,95.07
Chhattisgarh,Korba,144861.63,10000.0,71174.0,32059,5,1,3.89,75,61,1,3,102.1
Mizoram,Lunglei,142707.78,15000.0,69726.0,33463,3,2,6.21,96,76,1,4,105.65
Telangana,Warangal,101730.19,15000.0,80153.0,37712,7,0,6.13,106,63,0,4,106.7
Mizoram,Champhai,151197.32,15000.0,42712.0,21033,6,1,5.02,97,82,0,3,98.28
Uttarakhand,Almora,219347.99,15000.0,95322.0,30646,6,1,3.71,82,68,0,4,104.03
Mizoram,Aizawl,,20000.0,103566.0,38022,5,1,6.36,92,67,1,3,101.9
Arunachal Pradesh,Pasighat,192721.89,15000.0,88726.0,30722,7,2,3.92,91,70,0,5,105.05
Arunachal Pradesh,Ziro,177319.95,10000.0,81179.0,32325,4,3,6.04,104,62,0,4,106.09
West Bengal,Siliguri,132072.87,20000.0,71751.0,31806,5,2,3.69,114,58,1,2,101.86
Sikkim,Gyalshing,77491.84,10000.0,58871.0,16334,7,0,4.23,69,58,1,1,95.5
Tamil Nadu,Chennai,139948.06,15000.0,92910.0,16948,4,1,5.73,102,61,0,4,104.3
Chhattisgarh,Durg,138206.43,20000.0,88745.0,18290,3,2,5.89,78,52,1,1,109.92
Andhra Pradesh,Visakhapatnam,202439.72,10000.0,81751.0,26658,3,0,6.19,102,60,0,2,107.0
Andhra Pradesh,Guntur,165469.52,20000.0,80004.0,21496,4,1,3.94,145,54,1,4,98.37
Odisha,Sambalpur,230615.58,15000.0,79508.0,39816,5,1,5.28,84,43,1,1,105.47
Arunachal Pradesh,Itanagar,209874.43,15000.0,67110.0,26473,4,0,4.04,88,77,1,4,101.23
Rajasthan,Jaipur,127175.22,15000.0,112517.0,21675,7,0,7.25,105,59,1,4,99.56
Kerala,Thiruvananthapuram,60243.54,15000.0,70715.0,29293,4,0,6.84,119,61,0,2,101.23
Uttar Pradesh,Varanasi,,,68599.0,18167,7,1,5.76,114,58,0,1,105.06
Goa,Margao,217969.26,10000.0,91809.0,38380,7,1,5.22,128,70,1,1,105.63
Tamil Nadu,Coimbatore,81689.42,15000.0,74561.0,39932,3,1,4.8,77,64,1,1,96.0
Bihar,,225462.0,10000.0,74715.0,33458,7,1,6.64,91,68,0,3,106.11
Tamil Nadu,Tiruchirapalli,169105.86,10000.0,96218.0,39869,6,0,5.54,94,69,0,4,108.13
Karnataka,Bangalore,158034.27,15000.0,85179.0,32369,3,0,3.55,108,56,1,4,105.37
Telangana,Hyderabad,230739.16,15000.0,85941.0,25593,3,0,5.78,83,59,1,5,100.83
Uttarakhand,Almora,217234.26,,53734.0,19171,4,1,6.93,120,58,0,2,107.76
Mizoram,Lunglei,182566.55,15000.0,81008.0,22946,7,0,5.93,100,53,1,2,101.99
Goa,Mapusa,,15000.0,59915.0,26939,4,0,3.78,100,62,1,3,104.38
